Matches_name,Player_Name,Runs,Balls,Fours,Sixes,SR
Karnali vs Lumbini - 22nd Match,Zeeshan Maqsood,1,1,0,0,100
Karnali vs Lumbini - 22nd Match,Nandan Yadav,0,1,0,0,0
Karnali vs Lumbini - 22nd Match,Unish Thakuri,,,,,
Karnali vs Lumbini - 22nd Match,Bipin Sharma,,,,,
Karnali vs Lumbini - 22nd Match,Ashutosh Ghiraiya,16,21,2,0,76.19
Karnali vs Lumbini - 22nd Match,Arjun Saud,13,6,3,0,216.66
Karnali vs Lumbini - 22nd Match,Rohit Paudel,10,8,2,0,125
Karnali vs Lumbini - 22nd Match,Tom Moores,36,35,4,1,102.85
Karnali vs Lumbini - 22nd Match,Sundeep Jora,24,21,0,2,114.28
Karnali vs Lumbini - 22nd Match,Ben Cutting,1,6,0,0,16.66
Karnali vs Lumbini - 22nd Match,Saad Bin Zafar,16,11,1,0,145.45
Karnali vs Lumbini - 22nd Match,Tilak Bhandari,3,5,0,0,60
Karnali vs Lumbini - 22nd Match,Ramon Simmonds,4,7,0,0,57.14
Karnali vs Lumbini - 22nd Match,Bikash Aagri,,,,,
Karnali vs Lumbini - 22nd Match,Abhishesh Gautam,,,,,
Biratnagar vs Chitwan - 23rd Match,Lokesh Bam,0,2,0,0,0
Biratnagar vs Chitwan - 23rd Match,Martin Guptill,45,35,1,4,128.57
Biratnagar vs Chitwan - 23rd Match,Dipak Bohara,4,3,1,0,133.33
Biratnagar vs Chitwan - 23rd Match,Scott Edwards,0,4,0,0,0
Biratnagar vs Chitwan - 23rd Match,Nicholas Kirton,8,15,1,0,53.33
Biratnagar vs Chitwan - 23rd Match,Basir Ahamad,68,44,4,4,154.54
Biratnagar vs Chitwan - 23rd Match,Rajesh Pulami,33,20,1,3,165
Biratnagar vs Chitwan - 23rd Match,Chris Sole,,,,,
Biratnagar vs Chitwan - 23rd Match,Pratis GC,,,,,
Biratnagar vs Chitwan - 23rd Match,Sandeep Lamichhane,,,,,
Biratnagar vs Chitwan - 23rd Match,Subash Bhandari,,,,,
Biratnagar vs Chitwan - 23rd Match,Santosh Karki,28,25,3,1,112
Biratnagar vs Chitwan - 23rd Match,Hassan Eisakhil,5,6,1,0,83.33
Biratnagar vs Chitwan - 23rd Match,Ravi Bopara,20,24,2,0,83.33
Biratnagar vs Chitwan - 23rd Match,Kushal Malla,25,25,2,1,100
Biratnagar vs Chitwan - 23rd Match,Basil Hameed,1,3,0,0,33.33
Biratnagar vs Chitwan - 23rd Match,Amar Routela,42,29,3,2,144.82
Biratnagar vs Chitwan - 23rd Match,Deepak Bohara,2,6,0,0,33.33
Biratnagar vs Chitwan - 23rd Match,Sohail Tanvir,1,2,0,0,50
Biratnagar vs Chitwan - 23rd Match,Rijan Dhakal,,,,,
Biratnagar vs Chitwan - 23rd Match,Bipin Rawal,,,,,
Biratnagar vs Chitwan - 23rd Match,Ranjit Kumar,,,,,
Pokhara vs Kathmandu - 24th Match,Dinesh Kharel,38,25,6,1,152
Pokhara vs Kathmandu - 24th Match,Andries Gous,0,5,0,0,0
Pokhara vs Kathmandu - 24th Match,Kushal Bhurtel,7,10,1,0,70
Pokhara vs Kathmandu - 24th Match,Dilip Nath,27,24,0,2,112.5
Pokhara vs Kathmandu - 24th Match,Aakarshit Gomel,8,15,0,0,53.33
Pokhara vs Kathmandu - 24th Match,Raymon Reifer,41,30,1,3,136.66
Pokhara vs Kathmandu - 24th Match,Michael Leask,1,2,0,0,50
Pokhara vs Kathmandu - 24th Match,Narayan Joshi,0,1,0,0,0
Pokhara vs Kathmandu - 24th Match,Bipin Khatri,4,6,0,0,66.66
Pokhara vs Kathmandu - 24th Match,Sagar Dhakal,1,2,0,0,50
Pokhara vs Kathmandu - 24th Match,Aakash Chand,,,,,
Pokhara vs Kathmandu - 24th Match,Stephen Eskinazi,60,34,10,0,176.47
Pokhara vs Kathmandu - 24th Match,Michael Levitt,32,18,6,1,177.77
Pokhara vs Kathmandu - 24th Match,Bhim Sharki,22,20,1,1,110
Pokhara vs Kathmandu - 24th Match,Gerhard Erasmus,25,10,1,3,250
Pokhara vs Kathmandu - 24th Match,Karan KC,1,3,0,0,33.33
Pokhara vs Kathmandu - 24th Match,Rashid Khan,1,1,0,0,100
Pokhara vs Kathmandu - 24th Match,Raju Rijal,,,,,
Pokhara vs Kathmandu - 24th Match,Nathan Sowter,,,,,
Pokhara vs Kathmandu - 24th Match,Pratik Shrestha,,,,,
Pokhara vs Kathmandu - 24th Match,Shahab Alam,,,,,
Pokhara vs Kathmandu - 24th Match,Dipesh Kandel,,,,,
Chitwan vs Janakpur - 25th Match,Hassan Eisakhil,28,19,4,1,147.36
Chitwan vs Janakpur - 25th Match,Bipin Rawal,3,10,0,0,30
Chitwan vs Janakpur - 25th Match,Santosh Karki,14,12,0,1,116.66
Chitwan vs Janakpur - 25th Match,Kushal Malla,72,41,3,7,175.6
Chitwan vs Janakpur - 25th Match,Ravi Bopara,44,32,5,1,137.5
Chitwan vs Janakpur - 25th Match,Basil Hameed,2,3,0,0,66.66
Chitwan vs Janakpur - 25th Match,Sohail Tanvir,5,3,1,0,166.66
Chitwan vs Janakpur - 25th Match,Amar Routela,,,,,
Chitwan vs Janakpur - 25th Match,Rijan Dhakal,,,,,
Chitwan vs Janakpur - 25th Match,Deepak Bohara,,,,,
Chitwan vs Janakpur - 25th Match,Ranjit Kumar,,,,,
Chitwan vs Janakpur - 25th Match,Anil Sah,8,6,2,0,133.33
Chitwan vs Janakpur - 25th Match,Aasif Sheikh,23,26,4,0,88.46
Chitwan vs Janakpur - 25th Match,Lahiru Milantha,1,4,0,0,25
Chitwan vs Janakpur - 25th Match,Harsh Thaker,6,6,1,0,100
Chitwan vs Janakpur - 25th Match,Shubh Kansakar,15,12,2,1,125
Chitwan vs Janakpur - 25th Match,James Neesham,65,24,5,6,270.83
Chitwan vs Janakpur - 25th Match,Mohammad Mohsin,13,12,2,0,108.33
Chitwan vs Janakpur - 25th Match,Arniko Yadav,0,0,0,0,-
Chitwan vs Janakpur - 25th Match,Sher Malla,5,8,0,0,62.5
Chitwan vs Janakpur - 25th Match,Lalit Rajbanshi,0,4,0,0,0
Chitwan vs Janakpur - 25th Match,Kishore Mahato,4,8,0,0,50
Biratnagar vs Kathmandu - 26th Match,Lokesh Bam,8,9,1,0,88.88
Biratnagar vs Kathmandu - 26th Match,Dipak Bohara,20,24,2,0,83.33
Biratnagar vs Kathmandu - 26th Match,Nicholas Kirton,12,10,2,0,120
Biratnagar vs Kathmandu - 26th Match,Scott Edwards,15,14,1,0,107.14
Biratnagar vs Kathmandu - 26th Match,Basir Ahamad,13,13,0,1,100
Biratnagar vs Kathmandu - 26th Match,Ismat Alam,5,13,0,0,38.46
Biratnagar vs Kathmandu - 26th Match,Rajesh Pulami,25,21,1,1,119.04
Biratnagar vs Kathmandu - 26th Match,Chris Sole,1,3,0,0,33.33
Biratnagar vs Kathmandu - 26th Match,Sandeep Lamichhane,0,2,0,0,0
Biratnagar vs Kathmandu - 26th Match,Subash Bhandari,6,10,0,0,60
Biratnagar vs Kathmandu - 26th Match,Anil Kharel,0,1,0,0,0
Biratnagar vs Kathmandu - 26th Match,Stephen Eskinazi,1,3,0,0,33.33
Biratnagar vs Kathmandu - 26th Match,Michael Levitt,10,6,2,0,166.66
Biratnagar vs Kathmandu - 26th Match,Gerhard Erasmus,12,7,3,0,171.42
Biratnagar vs Kathmandu - 26th Match,Bhim Sharki,1,5,0,0,20
Biratnagar vs Kathmandu - 26th Match,Pratik Shrestha,39,34,2,2,114.7
Biratnagar vs Kathmandu - 26th Match,Dan Douthwaite,1,5,0,0,20
Biratnagar vs Kathmandu - 26th Match,Rashid Khan,14,15,1,1,93.33
Biratnagar vs Kathmandu - 26th Match,Shankar Rana,16,20,1,0,80
Biratnagar vs Kathmandu - 26th Match,Karan KC,0,1,0,0,0
Biratnagar vs Kathmandu - 26th Match,Shahab Alam,2,8,0,0,25
Biratnagar vs Kathmandu - 26th Match,Dipesh Kandel,11,5,1,1,220
S Paschim vs Pokhara - 27th Match,Saif Zaib,9,8,1,0,112.5
S Paschim vs Pokhara - 27th Match,Binod Bhandari,14,16,1,1,87.5
S Paschim vs Pokhara - 27th Match,Brandon McMullen,23,16,1,2,143.75
S Paschim vs Pokhara - 27th Match,Harmeet Singh,13,10,0,1,130
S Paschim vs Pokhara - 27th Match,Aarif Sheikh,42,38,2,1,110.52
S Paschim vs Pokhara - 27th Match,Dipendra Singh Airee,20,16,0,1,125
S Paschim vs Pokhara - 27th Match,Ishan Pandey,10,11,1,0,90.9
S Paschim vs Pokhara - 27th Match,Scott Kuggeleijn,2,3,0,0,66.66
S Paschim vs Pokhara - 27th Match,Naresh Budayair,6,3,1,0,200
S Paschim vs Pokhara - 27th Match,Naren Saud,,,,,
S Paschim vs Pokhara - 27th Match,Abinash Bohara,,,,,
S Paschim vs Pokhara - 27th Match,Dinesh Kharel,15,12,3,0,125
S Paschim vs Pokhara - 27th Match,Andries Gous,36,21,4,2,171.42
S Paschim vs Pokhara - 27th Match,Kushal Bhurtel,0,3,0,0,0
S Paschim vs Pokhara - 27th Match,Dilip Nath,1,4,0,0,25
S Paschim vs Pokhara - 27th Match,Zen Malik,10,15,0,0,66.66
S Paschim vs Pokhara - 27th Match,Raymon Reifer,33,28,2,2,117.85
S Paschim vs Pokhara - 27th Match,Kiran Thagunna,32,28,3,1,114.28
S Paschim vs Pokhara - 27th Match,Michael Leask,5,4,1,0,125
S Paschim vs Pokhara - 27th Match,Sudip Aryal,0,0,0,0,-
S Paschim vs Pokhara - 27th Match,Sagar Dhakal,1,1,0,0,100
S Paschim vs Pokhara - 27th Match,Bipin Khatri,0,2,0,0,0
Karnali vs S Paschim - 28th Match,Babar Hayat,13,9,3,0,144.44
Karnali vs S Paschim - 28th Match,Rit Gautam,0,3,0,0,0
Karnali vs S Paschim - 28th Match,Chadwick Walton,11,16,1,0,68.75
Karnali vs S Paschim - 28th Match,Dev Khanal,7,12,1,0,58.33
Karnali vs S Paschim - 28th Match,William Bosisto,16,24,1,0,66.66
Karnali vs S Paschim - 28th Match,Zeeshan Maqsood,30,35,4,0,85.71
Karnali vs S Paschim - 28th Match,Gulsan Jha,2,2,0,0,100
Karnali vs S Paschim - 28th Match,Sompal Kami,11,9,2,0,122.22
Karnali vs S Paschim - 28th Match,Arjun Gharti,3,5,0,0,60
Karnali vs S Paschim - 28th Match,Nandan Yadav,0,3,0,0,0
Karnali vs S Paschim - 28th Match,Bipin Sharma,0,2,0,0,0
Karnali vs S Paschim - 28th Match,Saif Zaib,11,13,2,0,84.61
Karnali vs S Paschim - 28th Match,Binod Bhandari,4,5,1,0,80
Karnali vs S Paschim - 28th Match,Brandon McMullen,3,6,0,0,50
Karnali vs S Paschim - 28th Match,Ishan Pandey,38,36,4,0,105.55
Karnali vs S Paschim - 28th Match,Dipendra Singh Airee,38,29,4,1,131.03
Karnali vs S Paschim - 28th Match,Aarif Sheikh,4,3,1,0,133.33
Karnali vs S Paschim - 28th Match,Harmeet Singh,,,,,
Karnali vs S Paschim - 28th Match,Scott Kuggeleijn,,,,,
Karnali vs S Paschim - 28th Match,Naresh Budayair,,,,,
Karnali vs S Paschim - 28th Match,Naren Saud,,,,,
Karnali vs S Paschim - 28th Match,Abinash Bohara,,,,,
Karnali vs Chitwan - Eliminator,Jaykishan Kolsawala,53,39,6,2,135.89
Karnali vs Chitwan - Eliminator,Rit Gautam,0,1,0,0,0
Karnali vs Chitwan - Eliminator,Zeeshan Maqsood,14,12,1,1,116.66
Karnali vs Chitwan - Eliminator,William Bosisto,52,39,3,2,133.33
Karnali vs Chitwan - Eliminator,Gulsan Jha,0,3,0,0,0
Karnali vs Chitwan - Eliminator,Chadwick Walton,46,23,4,3,200
Karnali vs Chitwan - Eliminator,Dev Khanal,3,3,0,0,100
Karnali vs Chitwan - Eliminator,Sompal Kami,0,1,0,0,0
Karnali vs Chitwan - Eliminator,Arjun Gharti,,,,,
Karnali vs Chitwan - Eliminator,Nandan Yadav,,,,,
Karnali vs Chitwan - Eliminator,Bipin Sharma,,,,,
Karnali vs Chitwan - Eliminator,Hassan Eisakhil,1,2,0,0,50
Karnali vs Chitwan - Eliminator,Bipin Rawal,18,10,4,0,180
Karnali vs Chitwan - Eliminator,Luc Benkenstein,16,13,1,1,123.07
Karnali vs Chitwan - Eliminator,Kushal Malla,21,24,0,1,87.5
Karnali vs Chitwan - Eliminator,Ravi Bopara,53,34,3,4,155.88
Karnali vs Chitwan - Eliminator,Santosh Karki,8,15,0,0,53.33
Karnali vs Chitwan - Eliminator,Sohail Tanvir,4,3,1,0,133.33
Karnali vs Chitwan - Eliminator,Amar Routela,9,5,0,1,180
Karnali vs Chitwan - Eliminator,Sharad Vesawkar,10,10,1,0,100
Karnali vs Chitwan - Eliminator,Rijan Dhakal,7,4,1,0,175
Karnali vs Chitwan - Eliminator,Ranjit Kumar,0,0,0,0,-
Janakpur vs S Paschim - Qualifier 1,Lahiru Milantha,12,14,2,0,85.71
Janakpur vs S Paschim - Qualifier 1,Aasif Sheikh,11,10,2,0,110
Janakpur vs S Paschim - Qualifier 1,Shubh Kansakar,26,24,4,0,108.33
Janakpur vs S Paschim - Qualifier 1,Harsh Thaker,12,14,1,0,85.71
Janakpur vs S Paschim - Qualifier 1,Arniko Yadav,11,20,0,0,55
Janakpur vs S Paschim - Qualifier 1,James Neesham,45,23,3,3,195.65
Janakpur vs S Paschim - Qualifier 1,Mohammad Mohsin,3,6,0,0,50
Janakpur vs S Paschim - Qualifier 1,Aakash Tripathi,4,4,0,0,100
Janakpur vs S Paschim - Qualifier 1,Sher Malla,3,3,0,0,100
Janakpur vs S Paschim - Qualifier 1,Kishore Mahato,2,2,0,0,100
Janakpur vs S Paschim - Qualifier 1,Lalit Rajbanshi,,,,,
Janakpur vs S Paschim - Qualifier 1,Saif Zaib,32,21,3,2,152.38
Janakpur vs S Paschim - Qualifier 1,Binod Bhandari,58,55,3,3,105.45
Janakpur vs S Paschim - Qualifier 1,Brandon McMullen,25,19,1,1,131.57
Janakpur vs S Paschim - Qualifier 1,Dipendra Singh Airee,20,16,1,1,125
Janakpur vs S Paschim - Qualifier 1,Ishan Pandey,,,,,
Janakpur vs S Paschim - Qualifier 1,Aarif Sheikh,,,,,
Janakpur vs S Paschim - Qualifier 1,Harmeet Singh,,,,,
Janakpur vs S Paschim - Qualifier 1,Scott Kuggeleijn,,,,,
Janakpur vs S Paschim - Qualifier 1,Naresh Budayair,,,,,
Janakpur vs S Paschim - Qualifier 1,Naren Saud,,,,,
Janakpur vs S Paschim - Qualifier 1,Abinash Bohara,,,,,
Karnali vs Janakpur - Qualifier 2,Dev Khanal,24,20,3,1,120
Karnali vs Janakpur - Qualifier 2,Jaykishan Kolsawala,1,4,0,0,25
Karnali vs Janakpur - Qualifier 2,Zeeshan Maqsood,12,11,2,0,109.09
Karnali vs Janakpur - Qualifier 2,William Bosisto,14,15,1,0,93.33
Karnali vs Janakpur - Qualifier 2,Chadwick Walton,11,13,1,0,84.61
Karnali vs Janakpur - Qualifier 2,Gulsan Jha,25,20,1,2,125
Karnali vs Janakpur - Qualifier 2,Arjun Gharti,2,3,0,0,66.66
Karnali vs Janakpur - Qualifier 2,Sompal Kami,5,8,0,0,62.5
Karnali vs Janakpur - Qualifier 2,Nandan Yadav,4,9,0,0,44.44
Karnali vs Janakpur - Qualifier 2,Unish Thakuri,12,17,2,0,70.58
Karnali vs Janakpur - Qualifier 2,Bipin Sharma,,,,,
Karnali vs Janakpur - Qualifier 2,Shubh Kansakar,3,6,0,0,50
Karnali vs Janakpur - Qualifier 2,Aasif Sheikh,4,6,0,0,66.66
Karnali vs Janakpur - Qualifier 2,Lahiru Milantha,2,9,0,0,22.22
Karnali vs Janakpur - Qualifier 2,Aakash Tripathi,13,20,1,0,65
Karnali vs Janakpur - Qualifier 2,Harsh Thaker,17,26,2,0,65.38
Karnali vs Janakpur - Qualifier 2,James Neesham,45,17,2,5,264.7
Karnali vs Janakpur - Qualifier 2,Mayan Yadav,14,18,0,0,77.77
Karnali vs Janakpur - Qualifier 2,Mohammad Mohsin,1,2,0,0,50
Karnali vs Janakpur - Qualifier 2,Sher Malla,16,10,0,1,160
Karnali vs Janakpur - Qualifier 2,Kishore Mahato,0,0,0,0,-
Karnali vs Janakpur - Qualifier 2,Lalit Rajbanshi,,,,,
S Paschim vs Janakpur - Final,Saif Zaib,69,43,8,2,160.46
S Paschim vs Janakpur - Final,Binod Bhandari,41,31,1,3,132.25
S Paschim vs Janakpur - Final,Brandon McMullen,14,12,0,1,116.66
S Paschim vs Janakpur - Final,Harmeet Singh,14,8,0,1,175
S Paschim vs Janakpur - Final,Dipendra Singh Airee,9,7,0,0,128.57
S Paschim vs Janakpur - Final,Scott Kuggeleijn,13,10,2,0,130
S Paschim vs Janakpur - Final,Aarif Sheikh,1,3,0,0,33.33
S Paschim vs Janakpur - Final,Ishan Pandey,6,2,1,0,300
S Paschim vs Janakpur - Final,Naresh Budayair,8,3,0,1,266.66
S Paschim vs Janakpur - Final,Naren Saud,1,1,0,0,100
S Paschim vs Janakpur - Final,Abinash Bohara,,,,,
S Paschim vs Janakpur - Final,Lahiru Milantha,87,49,9,4,177.55
S Paschim vs Janakpur - Final,Aasif Sheikh,33,19,4,2,173.68
S Paschim vs Janakpur - Final,Mohammad Mohsin,9,8,0,1,112.5
S Paschim vs Janakpur - Final,Harsh Thaker,30,24,0,2,125
S Paschim vs Janakpur - Final,James Neesham,4,7,0,0,57.14
S Paschim vs Janakpur - Final,Aakash Tripathi,2,6,0,0,33.33
S Paschim vs Janakpur - Final,Mayan Yadav,2,3,0,0,66.66
S Paschim vs Janakpur - Final,Shubh Kansakar,,,,,
S Paschim vs Janakpur - Final,Sher Malla,,,,,
S Paschim vs Janakpur - Final,Kishore Mahato,,,,,
S Paschim vs Janakpur - Final,Lalit Rajbanshi,,,,,