matches_name,Player_Name,Overs,Maidens,Runs_conceded,Wickets,Economy,Wides,No_balls
Pokhara vs Karnali - 17th Match,Bipin Sharma,2,0,21,1,10.5,0,0
Pokhara vs Karnali - 17th Match,Zeeshan Maqsood,4,0,11,0,2.75,0,0
Pokhara vs Karnali - 17th Match,Unish Thakuri,4,0,17,1,4.25,0,0
Pokhara vs Karnali - 17th Match,William Bosisto,4,0,28,6,7,1,0
Pokhara vs Karnali - 17th Match,Bipin Khatri,3,1,12,1,4,0,0
Pokhara vs Karnali - 17th Match,Sagar Dhakal,4,0,24,1,6,0,0
Pokhara vs Karnali - 17th Match,Michael Leask,3,1,25,0,8.33,1,0
Pokhara vs Karnali - 17th Match,Raymon Reifer,2,0,7,0,3.5,0,0
Pokhara vs Karnali - 17th Match,Matt Critchley,2,0,20,0,10,0,0
Pokhara vs Karnali - 17th Match,Kushal Bhurtel,1,0,14,1,14,0,0
S Paschim vs Janakpur - 18th Match,Kishore Mahato,4,0,35,4,8.75,2,0
S Paschim vs Janakpur - 18th Match,Harsh Thaker,3,1,9,1,3,0,0
S Paschim vs Janakpur - 18th Match,Lalit Rajbanshi,4,0,32,0,8,0,0
S Paschim vs Janakpur - 18th Match,James Neesham,2,0,12,0,6,0,0
S Paschim vs Janakpur - 18th Match,Sher Malla,4,0,19,2,4.75,0,0
S Paschim vs Janakpur - 18th Match,Arniko Yadav,3,0,16,2,5.33,3,0
S Paschim vs Janakpur - 18th Match,Harmeet Singh,4,2,2,2,0.5,1,0
S Paschim vs Janakpur - 18th Match,Saif Zaib,1,0,2,1,2,0,0
S Paschim vs Janakpur - 18th Match,Dipendra Singh Airee,3,0,27,2,9,1,0
S Paschim vs Janakpur - 18th Match,Ishan Pandey,2,0,11,2,5.5,3,0
S Paschim vs Janakpur - 18th Match,Naren Saud,2,0,5,1,2.5,0,0
S Paschim vs Janakpur - 18th Match,Scott Kuggeleijn,0.1,0,0,1,0,0,0
Kathmandu vs Lumbini - 19th Match,Ramon Simmonds,3.2,0,21,2,6.3,0,0
Kathmandu vs Lumbini - 19th Match,Abhishesh Gautam,4,0,16,2,4,0,0
Kathmandu vs Lumbini - 19th Match,Saad Bin Zafar,4,0,21,3,5.25,0,0
Kathmandu vs Lumbini - 19th Match,Surya Tamang,4,0,18,1,4.5,0,0
Kathmandu vs Lumbini - 19th Match,Rohit Paudel,2,0,17,0,8.5,0,0
Kathmandu vs Lumbini - 19th Match,Bibek Yadav,2,0,9,1,4.5,2,0
Kathmandu vs Lumbini - 19th Match,Shahab Alam,4,0,10,0,2.5,0,0
Kathmandu vs Lumbini - 19th Match,Dipesh Kandel,4,0,6,3,1.5,0,0
Kathmandu vs Lumbini - 19th Match,Gerhard Erasmus,4,0,19,2,4.75,1,0
Kathmandu vs Lumbini - 19th Match,Rashid Khan,2.2,0,22,1,9.42,1,0
Kathmandu vs Lumbini - 19th Match,Karan KC,4,0,16,4,4,0,0
Kathmandu vs Lumbini - 19th Match,Bhim Sharki,1,0,8,0,8,1,0
Biratnagar vs Pokhara - 20th Matcgh,Bipin Khatri,3,0,30,0,10,0,0
Biratnagar vs Pokhara - 20th Matcgh,Sagar Dhakal,4,0,15,2,3.75,0,0
Biratnagar vs Pokhara - 20th Matcgh,Raymon Reifer,4,0,33,2,8.25,2,0
Biratnagar vs Pokhara - 20th Matcgh,Kushal Bhurtel,4,0,32,1,8,1,0
Biratnagar vs Pokhara - 20th Matcgh,Dinesh Kharel,1,0,9,1,9,0,0
Biratnagar vs Pokhara - 20th Matcgh,Michael Leask,4,0,19,0,4.75,0,0
Biratnagar vs Pokhara - 20th Matcgh,Anil Kharel,3,0,29,0,9.66,1,0
Biratnagar vs Pokhara - 20th Matcgh,Chris Sole,4,0,30,2,7.5,0,0
Biratnagar vs Pokhara - 20th Matcgh,Sandeep Lamichhane,4,0,21,0,5.25,0,0
Biratnagar vs Pokhara - 20th Matcgh,Pratis GC,4,0,18,4,4.5,0,0
Biratnagar vs Pokhara - 20th Matcgh,Basir Ahamad,3,0,18,0,6,0,0
Biratnagar vs Pokhara - 20th Matcgh,Nicholas Kirton,2,0,17,0,8.5,0,0
Biratnagar vs Pokhara - 20th Matcgh,Raymon Reifer,1,0,4,0,4,1,0
Kathmandu vs Janakpur - 21st Match,Kishore Mahato,3,1,14,1,4.66,0,0
Kathmandu vs Janakpur - 21st Match,Lalit Rajbanshi,4,2,8,3,2,0,0
Kathmandu vs Janakpur - 21st Match,James Neesham,1,0,10,0,10,1,0
Kathmandu vs Janakpur - 21st Match,Mohammad Mohsin,4,0,20,2,5,0,0
Kathmandu vs Janakpur - 21st Match,Arniko Yadav,4,0,33,1,8.25,1,0
Kathmandu vs Janakpur - 21st Match,Sher Malla,3.3,0,11,3,3.14,0,0
Kathmandu vs Janakpur - 21st Match,Shahab Alam,4,0,22,1,5.5,0,0
Kathmandu vs Janakpur - 21st Match,Gerhard Erasmus,4,0,21,1,5.25,2,0
Kathmandu vs Janakpur - 21st Match,Karan KC,3,0,10,2,3.33,0,0
Kathmandu vs Janakpur - 21st Match,Dan Douthwaite,1.5,0,21,0,11.45,1,0
Kathmandu vs Janakpur - 21st Match,Dipesh Kandel,3,0,29,1,9.66,0,0
Karnali vs Lumbini - 22nd Match,Ramon Simmonds,4,0,40,1,10,1,0
Karnali vs Lumbini - 22nd Match,Abhishesh Gautam,4,0,11,0,2.75,0,0
Karnali vs Lumbini - 22nd Match,Bikash Aagri,2,0,14,3,7,0,0
Karnali vs Lumbini - 22nd Match,Saad Bin Zafar,4,0,29,1,7.25,1,0
Karnali vs Lumbini - 22nd Match,Tilak Bhandari,4,0,23,2,5.75,0,0
Karnali vs Lumbini - 22nd Match,Rohit Paudel,2,0,6,1,3,0,0
Karnali vs Lumbini - 22nd Match,Sompal Kami,4,1,24,1,6,0,0
Karnali vs Lumbini - 22nd Match,Nandan Yadav,4,0,26,1,6.5,0,0
Karnali vs Lumbini - 22nd Match,Bipin Sharma,4,1,25,1,6.25,0,0
Karnali vs Lumbini - 22nd Match,Zeeshan Maqsood,3,0,12,2,4,0,0
Karnali vs Lumbini - 22nd Match,William Bosisto,4,0,23,1,5.75,0,0
Karnali vs Lumbini - 22nd Match,Unish Thakuri,1,0,13,0,13,0,0
Biratnagar vs Chitwan - 23rd Match,Rijan Dhakal,4,0,40,2,10,2,0
Biratnagar vs Chitwan - 23rd Match,Sohail Tanvir,4,0,33,1,8.25,1,0
Biratnagar vs Chitwan - 23rd Match,Basil Hameed,4,0,15,1,3.75,0,0
Biratnagar vs Chitwan - 23rd Match,Kushal Malla,4,0,28,1,7,0,0
Biratnagar vs Chitwan - 23rd Match,Ranjit Kumar,3,0,30,0,10,1,0
Biratnagar vs Chitwan - 23rd Match,Amar Routela,1,0,24,0,24,0,3
Biratnagar vs Chitwan - 23rd Match,Chris Sole,4,0,22,1,5.5,3,0
Biratnagar vs Chitwan - 23rd Match,Pratis GC,2,0,19,0,9.5,1,0
Biratnagar vs Chitwan - 23rd Match,Basir Ahamad,4,1,19,1,4.75,0,0
Biratnagar vs Chitwan - 23rd Match,Sandeep Lamichhane,4,0,28,2,7,1,0
Biratnagar vs Chitwan - 23rd Match,Subash Bhandari,4,0,27,1,6.75,0,0
Biratnagar vs Chitwan - 23rd Match,Nicholas Kirton,1,0,6,0,6,0,0
Biratnagar vs Chitwan - 23rd Match,Lokesh Bam,1,0,8,1,8,0,0
Pokhara vs Kathmandu - 24th Match,Shahab Alam,2,0,12,0,6,1,0
Pokhara vs Kathmandu - 24th Match,Gerhard Erasmus,4,0,14,1,3.5,1,0
Pokhara vs Kathmandu - 24th Match,Karan KC,4,0,24,3,6,0,0
Pokhara vs Kathmandu - 24th Match,Rashid Khan,4,0,43,3,10.75,0,0
Pokhara vs Kathmandu - 24th Match,Nathan Sowter,2,0,20,0,10,1,0
Pokhara vs Kathmandu - 24th Match,Michael Levitt,3,0,13,1,4.33,0,0
Pokhara vs Kathmandu - 24th Match,Bhim Sharki,1,0,4,0,4,0,0
Pokhara vs Kathmandu - 24th Match,Sagar Dhakal,4,0,37,0,9.25,0,0
Pokhara vs Kathmandu - 24th Match,Bipin Khatri,3,0,19,3,6.33,0,0
Pokhara vs Kathmandu - 24th Match,Raymon Reifer,2,0,20,0,10,0,0
Pokhara vs Kathmandu - 24th Match,Aakash Chand,1,0,18,0,18,0,1
Pokhara vs Kathmandu - 24th Match,Kushal Bhurtel,2,0,12,0,6,0,0
Pokhara vs Kathmandu - 24th Match,Aakarshit Gomel,1,0,13,0,13,0,0
Pokhara vs Kathmandu - 24th Match,Michael Leask,1,0,17,1,17,0,0
Pokhara vs Kathmandu - 24th Match,Dinesh Kharel,0.1,0,6,0,36,0,0
Chitwan vs Janakpur - 25th Match,Kishore Mahato,3,0,40,0,13.33,4,0
Chitwan vs Janakpur - 25th Match,Harsh Thaker,4,0,27,1,6.75,1,0
Chitwan vs Janakpur - 25th Match,Lalit Rajbanshi,4,2,11,2,2.75,0,0
Chitwan vs Janakpur - 25th Match,Sher Malla,2,0,20,0,10,0,0
Chitwan vs Janakpur - 25th Match,Mohammad Mohsin,3,0,24,1,8,0,0
Chitwan vs Janakpur - 25th Match,Arniko Yadav,1,0,20,0,20,2,0
Chitwan vs Janakpur - 25th Match,James Neesham,3,0,37,1,12.33,0,0
Chitwan vs Janakpur - 25th Match,Rijan Dhakal,3,0,19,2,6.33,0,0
Chitwan vs Janakpur - 25th Match,Sohail Tanvir,4,0,23,2,5.75,2,1
Chitwan vs Janakpur - 25th Match,Kushal Malla,4,0,26,2,6.5,1,0
Chitwan vs Janakpur - 25th Match,Ranjit Kumar,2,0,16,0,8,0,0
Chitwan vs Janakpur - 25th Match,Amar Routela,2,0,11,1,5.5,0,1
Chitwan vs Janakpur - 25th Match,Basil Hameed,2,0,38,0,19,0,0
Chitwan vs Janakpur - 25th Match,Ravi Bopara,1,0,13,0,13,0,0
Biratnagar vs Kathmandu - 26th Match,Shahab Alam,4,0,23,1,5.75,0,0
Biratnagar vs Kathmandu - 26th Match,Karan KC,3.5,0,25,1,6.52,2,0
Biratnagar vs Kathmandu - 26th Match,Dan Douthwaite,2,0,14,1,7,0,1
Biratnagar vs Kathmandu - 26th Match,Rashid Khan,2,0,20,0,10,1,0
Biratnagar vs Kathmandu - 26th Match,Dipesh Kandel,4,0,16,2,4,0,0
Biratnagar vs Kathmandu - 26th Match,Gerhard Erasmus,4,0,17,3,4.25,2,0
Biratnagar vs Kathmandu - 26th Match,Anil Kharel,4,0,28,2,7,0,0
Biratnagar vs Kathmandu - 26th Match,Basir Ahamad,4,0,27,2,6.75,0,0
Biratnagar vs Kathmandu - 26th Match,Sandeep Lamichhane,4,0,19,3,4.75,0,0
Biratnagar vs Kathmandu - 26th Match,Chris Sole,4,0,21,2,5.25,4,0
Biratnagar vs Kathmandu - 26th Match,Ismat Alam,2,0,16,0,8,0,0
Biratnagar vs Kathmandu - 26th Match,Subash Bhandari,0.1,0,4,0,24,0,0
S Paschim vs Pokhara - 27th Match,Bipin Khatri,2,0,20,0,10,1,0
S Paschim vs Pokhara - 27th Match,Raymon Reifer,4,0,24,1,6,1,0
S Paschim vs Pokhara - 27th Match,Sagar Dhakal,4,0,29,1,7.25,0,0
S Paschim vs Pokhara - 27th Match,Kushal Bhurtel,4,0,27,2,6.75,0,0
S Paschim vs Pokhara - 27th Match,Michael Leask,4,0,27,1,6.75,0,0
S Paschim vs Pokhara - 27th Match,Sudip Aryal,2,0,19,0,9.5,0,1
S Paschim vs Pokhara - 27th Match,Harmeet Singh,4,0,26,3,6.5,2,0
S Paschim vs Pokhara - 27th Match,Brandon McMullen,1,0,21,0,21,0,0
S Paschim vs Pokhara - 27th Match,Scott Kuggeleijn,3.4,1,18,5,4.9,3,0
S Paschim vs Pokhara - 27th Match,Naren Saud,3,0,20,0,6.66,2,0
S Paschim vs Pokhara - 27th Match,Saif Zaib,1,0,7,1,7,0,0
S Paschim vs Pokhara - 27th Match,Dipendra Singh Airee,4,0,18,0,4.5,0,0
S Paschim vs Pokhara - 27th Match,Abinash Bohara,3,0,36,0,12,1,0
Karnali vs S Paschim - 28th Match,Harmeet Singh,4,0,17,3,4.25,2,0
Karnali vs S Paschim - 28th Match,Scott Kuggeleijn,4,0,29,2,7.25,1,0
Karnali vs S Paschim - 28th Match,Saif Zaib,4,0,14,1,3.5,0,0
Karnali vs S Paschim - 28th Match,Brandon McMullen,2,0,6,0,3,0,0
Karnali vs S Paschim - 28th Match,Dipendra Singh Airee,4,0,20,2,5,1,0
Karnali vs S Paschim - 28th Match,Abinash Bohara,2,0,14,0,7,1,0
Karnali vs S Paschim - 28th Match,Sompal Kami,2.2,0,20,1,8.57,3,0
Karnali vs S Paschim - 28th Match,Bipin Sharma,3,0,22,1,7.33,0,0
Karnali vs S Paschim - 28th Match,Zeeshan Maqsood,4,0,14,0,3.5,1,0
Karnali vs S Paschim - 28th Match,William Bosisto,4,0,30,0,7.5,0,0
Karnali vs S Paschim - 28th Match,Nandan Yadav,2,0,18,1,9,1,0
Karnali vs Chitwan - Eliminator,Rijan Dhakal,4,0,44,0,11,0,0
Karnali vs Chitwan - Eliminator,Sohail Tanvir,4,0,24,2,6,0,1
Karnali vs Chitwan - Eliminator,Sharad Vesawkar,4,0,37,1,9.25,0,0
Karnali vs Chitwan - Eliminator,Amar Routela,3,0,17,0,5.66,0,0
Karnali vs Chitwan - Eliminator,Ravi Bopara,2,0,8,1,4,0,0
Karnali vs Chitwan - Eliminator,Kushal Malla,2,0,21,1,10.5,0,0
Karnali vs Chitwan - Eliminator,Ranjit Kumar,1,0,18,0,18,0,0
Karnali vs Chitwan - Eliminator,Sompal Kami,3,0,22,2,7.33,1,0
Karnali vs Chitwan - Eliminator,Nandan Yadav,3,0,28,2,9.33,0,0
Karnali vs Chitwan - Eliminator,Gulsan Jha,1,0,7,0,7,0,0
Karnali vs Chitwan - Eliminator,William Bosisto,3,0,20,0,6.66,2,0
Karnali vs Chitwan - Eliminator,Zeeshan Maqsood,4,0,26,3,6.5,0,0
Karnali vs Chitwan - Eliminator,Dev Khanal,2,0,22,0,11,1,0
Karnali vs Chitwan - Eliminator,Bipin Sharma,4,0,27,1,6.75,1,0
Janakpur vs S Paschim - Qualifier 1,Harmeet Singh,4,0,13,0,3.25,0,0
Janakpur vs S Paschim - Qualifier 1,Scott Kuggeleijn,4,0,32,1,8,3,0
Janakpur vs S Paschim - Qualifier 1,Dipendra Singh Airee,4,0,29,3,7.25,0,0
Janakpur vs S Paschim - Qualifier 1,Brandon McMullen,1,0,9,0,9,0,0
Janakpur vs S Paschim - Qualifier 1,Saif Zaib,3,0,20,2,6.66,0,0
Janakpur vs S Paschim - Qualifier 1,Naren Saud,1,0,11,0,11,0,0
Janakpur vs S Paschim - Qualifier 1,Abinash Bohara,2,0,9,1,4.5,0,0
Janakpur vs S Paschim - Qualifier 1,Ishan Pandey,1,0,10,0,10,0,0
Janakpur vs S Paschim - Qualifier 1,Lalit Rajbanshi,4,0,37,1,9.25,1,0
Janakpur vs S Paschim - Qualifier 1,Kishore Mahato,3,0,14,1,4.66,1,0
Janakpur vs S Paschim - Qualifier 1,Harsh Thaker,2,0,11,0,5.5,0,0
Janakpur vs S Paschim - Qualifier 1,James Neesham,3,0,25,0,8.33,2,0
Janakpur vs S Paschim - Qualifier 1,Mohammad Mohsin,3.3,0,33,0,9.42,1,0
Janakpur vs S Paschim - Qualifier 1,Sher Malla,3,0,20,0,6.66,0,0
Karnali vs Janakpur - Qualifier 2,Harsh Thaker,4,0,13,1,3.25,0,0
Karnali vs Janakpur - Qualifier 2,Lalit Rajbanshi,4,0,22,2,5.5,2,0
Karnali vs Janakpur - Qualifier 2,Kishore Mahato,3,0,34,0,11.33,0,0
Karnali vs Janakpur - Qualifier 2,James Neesham,4,0,30,2,7.5,1,0
Karnali vs Janakpur - Qualifier 2,Mohammad Mohsin,4,1,14,2,3.5,0,0
Karnali vs Janakpur - Qualifier 2,Sher Malla,1,0,4,1,4,0,0
Karnali vs Janakpur - Qualifier 2,Sompal Kami,3,0,23,1,7.66,2,0
Karnali vs Janakpur - Qualifier 2,Bipin Sharma,4,0,17,3,4.25,0,0
Karnali vs Janakpur - Qualifier 2,William Bosisto,3,1,25,1,8.33,0,0
Karnali vs Janakpur - Qualifier 2,Zeeshan Maqsood,4,0,19,1,4.75,1,0
Karnali vs Janakpur - Qualifier 2,Unish Thakuri,1,0,7,0,7,0,0
Karnali vs Janakpur - Qualifier 2,Nandan Yadav,4,0,27,0,6.75,0,0
S Paschim vs Janakpur - Final,Harsh Thaker,3,1,33,0,11,0,0
S Paschim vs Janakpur - Final,James Neesham,4,0,44,1,11,2,0
S Paschim vs Janakpur - Final,Lalit Rajbanshi,4,1,15,1,3.75,0,0
S Paschim vs Janakpur - Final,Kishore Mahato,3,0,25,3,8.33,0,0
S Paschim vs Janakpur - Final,Sher Malla,2,0,25,0,12.5,0,0
S Paschim vs Janakpur - Final,Mohammad Mohsin,4,0,40,3,10,0,0
S Paschim vs Janakpur - Final,Harmeet Singh,4,0,32,0,8,1,0
S Paschim vs Janakpur - Final,Scott Kuggeleijn,3,0,43,1,14.33,4,0
S Paschim vs Janakpur - Final,Dipendra Singh Airee,4,0,40,1,10,0,0
S Paschim vs Janakpur - Final,Abinash Bohara,2,0,19,0,9.5,0,0
S Paschim vs Janakpur - Final,Saif Zaib,3,0,14,1,4.66,0,0
S Paschim vs Janakpur - Final,Ishan Pandey,2,0,19,1,9.5,1,0
S Paschim vs Janakpur - Final,Brandon McMullen,1,0,13,0,13,0,0
S Paschim vs Janakpur - Final,Naren Saud,0.2,0,3,0,9,0,0