Players_Name,Players_Type,Total_Batted,Matches_Name,Runs,Balls,Fours,Sixes,Sr,Overs,Maidens,Runs_Conceded,Wickets,Economy,Wides,No_Balls,Did_Bat,Did_Bowl
Bhim Sharki,All Rounder,7,Biratnagar  - 26th ,1,5,0,0,20,0,0,0,0,0,0,0,T,F
,,,Karnali  - 6th ,9,10,1,0,90,3,0,18,0,6,0,0,T,T
,,, Chitwan - 2nd ,1,4,0,0,25,0,0,0,0,0,0,0,T,F
,,, Janakpur - 21st ,4,11,1,0,36.36,0,0,0,0,0,0,0,T,F
,,, Lumbini - 19th ,31,40,1,0,77.5,1,0,8,0,8,1,0,T,T
,,,Pokhara  - 24th ,22,20,1,1,110,1,0,4,0,4,0,0,T,T
,,,S Paschim  - 9th ,10,8,2,0,125,0,0,0,0,0,0,0,T,F
Dan Douthwaite,All Rounder,4,Biratnagar  - 26th ,1,5,0,0,20,2,0,14,1,7,0,1,T,T
,,, Chitwan - 2nd ,19,18,2,0,105.56,3,0,15,1,5,1,0,T,T
,,, Janakpur - 21st ,1,5,0,0,20,1.5,0,21,0,14,1,0,T,T
,,, Lumbini - 19th ,21,24,0,2,87.5,0,0,0,0,0,0,0,T,F
Dipesh Kandel,All Rounder,4,Biratnagar  - 26th ,11,5,1,1,220,4,0,16,2,4,0,0,T,T
,,,Karnali  - 6th ,0,0,0,0,0,1,0,7,1,7,0,0,F,T
,,, Chitwan - 2nd ,1,2,0,0,50,4,0,29,0,7.25,0,0,T,T
,,, Janakpur - 21st ,0,2,0,0,0,3,0,29,1,9.67,0,0,T,T
,,, Lumbini - 19th ,0,0,0,0,0,4,0,6,3,1.5,0,0,T,T
,,,Pokhara  - 24th ,0,0,0,0,0,0,0,0,0,0,0,0,F,F
Gerhard Erasmus,All Rounder,7,Biratnagar  - 26th ,12,7,3,0,171.43,4,0,17,3,4.25,2,0,T,T
,,,Karnali  - 6th ,38,28,3,2,135.71,4,0,29,2,7.25,3,0,T,T
,,, Chitwan - 2nd ,4,4,1,0,100,3.1,0,22,1,7.1,2,0,T,T
,,, Janakpur - 21st ,20,22,2,0,90.91,4,0,21,1,5.25,2,0,T,T
,,, Lumbini - 19th ,1,4,0,0,25,4,0,19,2,4.75,1,0,T,T
,,,Pokhara  - 24th ,25,10,1,3,250,4,0,14,1,3.5,1,0,T,T
,,,S Paschim  - 9th ,10,5,1,1,200,2,0,9,1,4.5,0,0,T,T
Karan KC,All Rounder,7,Biratnagar  - 26th ,0,1,0,0,0,3.5,0,25,1,7.14,2,0,T,T
,,,Karnali  - 6th ,28,10,2,2,280,3,0,19,1,6.33,1,0,T,T
,,, Chitwan - 2nd ,1,2,0,0,50,2,0,18,0,9,0,0,T,T
,,, Janakpur - 21st ,19,13,2,1,146.15,3,0,10,2,3.33,0,0,T,T
,,, Lumbini - 19th ,1,5,0,0,20,4,0,16,4,4,0,0,T,T
,,,Pokhara  - 24th ,1,3,0,0,33.33,4,0,24,3,6,0,0,T,T
,,,S Paschim  - 9th ,1,5,0,0,20,4,0,40,1,10,4,0,T,T
Michael Levitt,All Rounder,7,Biratnagar  - 26th ,10,6,2,0,166.67,0,0,0,0,0,0,0,T,F
,,,Karnali  - 6th ,22,19,2,1,115.79,0,0,0,0,0,0,0,T,F
,,, Chitwan - 2nd ,25,16,4,1,156.25,0,0,0,0,0,0,0,T,F
,,, Janakpur - 21st ,8,6,0,1,133.33,0,0,0,0,0,0,0,T,F
,,, Lumbini - 19th ,0,2,0,0,0,0,0,0,0,0,0,0,T,F
,,,Pokhara  - 24th ,32,18,6,1,177.78,3,0,13,1,4.33,0,0,T,T
,,,S Paschim  - 9th ,5,7,1,0,71.43,3,0,32,0,10.67,1,0,T,T
Nathan Sowter,Right-Arm Leg-Break Bowler,1,Karnali  - 6th ,0,0,0,0,0,4,0,32,1,8,1,0,F,T
,,,Pokhara  - 24th ,0,0,0,0,0,2,0,20,0,10,1,0,F,T
,,,S Paschim  - 9th ,1,1,0,0,100,3,0,34,0,11.33,0,0,T,T
Pratik Shrestha,All Rounder,4,Biratnagar  - 26th ,39,34,2,2,114.71,0,0,0,0,0,0,0,T,F
,,, Janakpur - 21st ,6,11,1,0,54.55,0,0,0,0,0,0,0,T,F
,,, Lumbini - 19th ,20,14,0,2,142.86,0,0,0,0,0,0,0,T,F
,,,Pokhara  - 24th ,0,0,0,0,0,0,0,0,0,0,0,0,F,F
,,,S Paschim  - 9th ,8,6,0,1,133.33,0,0,0,0,0,0,0,T,F
Raju Rijal,Wicketkeeper Batter,0,Pokhara  - 24th ,0,0,0,0,0,0,0,0,0,0,0,0,F,F
Rashid Khan,Right Handed Batter,7,Biratnagar  - 26th ,14,15,1,1,93.33,2,0,20,0,10,1,0,T,T
,,,Karnali  - 6th ,0,0,0,0,0,4,0,28,0,7,1,0,T,T
,,, Chitwan - 2nd ,4,9,0,0,44.44,1,0,3,0,3,0,0,T,T
,,, Janakpur - 21st ,7,16,0,0,43.75,0,0,0,0,0,0,0,T,F
,,, Lumbini - 19th ,1,2,0,0,50,2.2,0,22,1,10,1,0,T,T
,,,Pokhara  - 24th ,1,1,0,0,100,4,0,43,3,10.75,0,0,T,T
,,,S Paschim  - 9th ,2,10,0,0,20,4,0,20,2,5,1,0,T,T
Shahab Alam,Left-Arm Orthodox Spin Bowler,6,Biratnagar  - 26th ,2,8,0,0,25,4,0,23,1,5.75,0,0,T,T
,,,Karnali  - 6th ,0,0,0,0,0,1,0,10,0,10,0,0,T,T
,,, Chitwan - 2nd ,1,3,0,0,33.33,4,0,20,3,5,0,0,T,T
,,, Janakpur - 21st ,8,9,1,0,88.89,4,0,22,1,5.5,0,0,T,T
,,, Lumbini - 19th ,8,5,0,1,160,4,0,10,0,2.5,0,0,T,T
,,,Pokhara  - 24th ,0,0,0,0,0,2,0,12,0,6,1,0,F,T
,,,S Paschim  - 9th ,1,3,0,0,33.33,4,0,28,1,7,0,0,T,T
Shankar Rana,Right Handed Batter,4,Biratnagar  - 26th ,16,20,1,0,80,0,0,0,0,0,0,0,T,F
,,,Karnali  - 6th ,6,7,1,0,85.71,0,0,0,0,0,0,0,T,F
,,, Chitwan - 2nd ,16,17,1,1,94.12,0,0,0,0,0,0,0,T,F
,,,S Paschim  - 9th ,3,7,0,0,42.86,0,0,0,0,0,0,0,T,F
Stephen Eskinazi,Wicketkeeper Batter,7,Biratnagar  - 26th ,1,3,0,0,33.33,0,0,0,0,0,0,0,T,F
,,,Karnali  - 6th ,3,6,0,0,50,0,0,0,0,0,0,0,T,F
,,, Chitwan - 2nd ,2,4,0,0,50,0,0,0,0,0,0,0,T,F
,,, Janakpur - 21st ,17,19,2,0,89.47,0,0,0,0,0,0,0,T,F
,,, Lumbini - 19th ,13,16,2,0,81.25,0,0,0,0,0,0,0,T,F
,,,Pokhara  - 24th ,60,34,10,0,176.47,0,0,0,0,0,0,0,T,F
,,,S Paschim  - 9th ,37,33,5,1,112.12,0,0,0,0,0,0,0,T,F
Sumit Maharjan,Right-Arm Medium Bowler,5,Karnali  - 6th ,40,37,3,1,108.11,0,0,0,0,0,0,0,T,F
,,, Chitwan - 2nd ,29,41,1,0,70.73,0,0,0,0,0,0,0,T,F
,,, Janakpur - 21st ,0,3,0,0,0,0,0,0,0,0,0,0,T,F
,,, Lumbini - 19th ,4,4,1,0,100,0,0,0,0,0,0,0,T,F
,,,S Paschim  - 9th ,14,10,2,0,140,0,0,0,0,0,0,0,T,F