Players_Name,Players_Type,Total_Batted,es_Name,Runs,Balls,Fours,Sixes,Sr,Overs,Maidens,Runs_Conceded,Wickets,Economy,Wides,No_Balls,Did_Bat,Did_Bowl
Abhishesh Gautam,Right Handed Batter,1,Janakpur  - 14th ,0,0,0,0,0,4,0,20,3,5,0,0,F,T
,,,Karnali  - 22nd ,0,0,0,0,0,4,0,11,0,2.75,0,0,F,T
,,,Kathmandu  - 19th ,0,1,0,0,0,4,0,16,2,4,0,0,T,T
,,, Chitwan - 16th ,0,0,0,0,0,4,0,31,1,7.75,1,0,F,T
Ashutosh Ghiraiya,Right Handed Batter,6,Janakpur  - 14th ,8,14,1,0,57.14,0,0,0,0,0,0,0,T,F
,,,Karnali  - 22nd ,16,21,2,0,76.19,0,0,0,0,0,0,0,T,F
,,,Kathmandu  - 19th ,4,12,0,0,33.33,0,0,0,0,0,0,0,T,F
,,, Biratnagar - 7th ,15,13,2,1,115.38,0,0,0,0,0,0,0,T,F
,,, Chitwan - 16th ,1,7,0,0,14.29,0,0,0,0,0,0,0,T,F
,,, Pokhara - 11th ,0,3,0,0,0,0,0,0,0,0,0,0,T,F
Ben Cutting,All Rounder,3,Janakpur  - 14th ,3,7,0,0,42.86,0,0,0,0,0,0,0,T,F
,,,Karnali  - 22nd ,1,6,0,0,16.67,0,0,0,0,0,0,0,T,F
,,, Biratnagar - 7th ,6,6,1,0,100,0,0,0,0,0,0,0,T,F
Bibek Yadav,All Rounder,5,Janakpur  - 14th ,0,2,0,0,0,2,0,19,0,9.5,4,0,T,T
,,,Kathmandu  - 19th ,2,8,0,0,25,2,0,9,1,4.5,2,0,T,T
,,, Biratnagar - 7th ,19,7,0,3,271.43,3.5,0,64,1,18.29,5,0,T,T
,,, Chitwan - 16th ,0,0,0,0,0,3,0,31,0,10.33,1,0,F,T
,,, Pokhara - 11th ,2,1,0,0,200,1,0,13,0,13,0,0,T,T
,,,S Paschim  - 12th ,77,54,3,7,142.59,3,0,35,1,11.67,2,0,T,T
Dinesh Adhikari,Right-Arm Medium Bowler,1, Pokhara - 11th ,0,0,0,0,0,1,0,20,0,20,0,0,F,T
,,,S Paschim  - 12th ,14,16,2,0,87.5,1,0,11,0,11,0,0,T,T
Durgesh Gupta,Right-Arm Medium Bowler,2,Janakpur  - 14th ,5,3,1,0,166.67,2,0,16,0,8,0,0,T,T
,,, Biratnagar - 7th ,0,0,0,0,0,4,0,21,3,5.25,0,0,F,T
,,, Chitwan - 16th ,0,0,0,0,0,0,0,0,0,0,0,0,F,F
,,, Pokhara - 11th ,0,0,0,0,0,3,0,41,0,13.67,0,0,F,T
,,,S Paschim  - 12th ,0,1,0,0,0,2,0,26,0,13,0,0,T,T
Ramon Simmonds,Left-Arm Fast-Medium Bowler,4,Janakpur  - 14th ,0,0,0,0,0,3,0,26,0,8.67,1,0,F,T
,,,Karnali  - 22nd ,4,7,0,0,57.14,4,0,40,1,10,1,0,T,T
,,,Kathmandu  - 19th ,0,2,0,0,0,3.2,0,21,2,6.56,0,0,T,T
,,, Biratnagar - 7th ,2,3,0,0,66.67,4,0,33,2,8.25,2,0,T,T
,,, Chitwan - 16th ,0,0,0,0,0,4,0,22,2,5.5,1,0,F,T
,,, Pokhara - 11th ,0,0,0,0,0,2,0,20,0,10,1,0,F,T
,,,S Paschim  - 12th ,0,1,0,0,0,4,0,32,2,8,0,0,T,T
Rohit Paudel,All Rounder,7,Janakpur  - 14th ,35,38,3,0,92.11,4,0,22,2,5.5,0,0,T,T
,,,Karnali  - 22nd ,10,8,2,0,125,2,0,6,1,3,0,0,T,T
,,,Kathmandu  - 19th ,8,15,0,0,53.33,2,0,17,0,8.5,0,0,T,T
,,, Biratnagar - 7th ,46,29,4,2,158.62,0,0,0,0,0,0,0,T,F
,,, Chitwan - 16th ,80,57,6,5,140.35,4,0,17,4,4.25,0,0,T,T
,,, Pokhara - 11th ,95,59,10,4,161.02,3,0,23,0,7.67,0,0,T,T
,,,S Paschim  - 12th ,5,6,1,0,83.33,4,0,22,1,5.5,0,0,T,T
Saad Bin Zafar,All Rounder,6,Janakpur  - 14th ,0,2,0,0,0,3,0,11,2,3.67,1,0,T,T
,,,Karnali  - 22nd ,16,11,1,0,145.45,4,0,29,1,7.25,1,0,T,T
,,,Kathmandu  - 19th ,0,1,0,0,0,4,0,21,3,5.25,0,0,T,T
,,, Biratnagar - 7th ,15,13,0,1,115.38,4,0,35,2,8.75,1,0,T,T
,,, Chitwan - 16th ,52,35,4,1,148.57,4,0,21,1,5.25,0,0,T,T
,,, Pokhara - 11th ,0,0,0,0,0,3,0,26,0,8.67,1,0,F,T
,,,S Paschim  - 12th ,0,1,0,0,0,3,0,28,0,9.33,0,0,T,T
Sundeep Jora,Right Handed Batter,7,Janakpur  - 14th ,16,8,1,1,200,2,0,13,1,6.5,0,0,T,T
,,,Karnali  - 22nd ,24,21,0,2,114.29,0,0,0,0,0,0,0,T,F
,,,Kathmandu  - 19th ,26,29,2,0,89.66,0,0,0,0,0,0,0,T,F
,,, Biratnagar - 7th ,12,13,0,0,92.31,0,0,0,0,0,0,0,T,F
,,, Chitwan - 16th ,4,3,1,0,133.33,1,0,9,0,9,0,0,T,T
,,, Pokhara - 11th ,18,15,2,1,120,0,0,0,0,0,0,0,T,F
,,,S Paschim  - 12th ,20,26,0,1,76.92,0,0,0,0,0,0,0,T,F
Surya Tamang,Left-Arm Orthodox Spin Bowler,2,Kathmandu  - 19th ,11,14,1,0,78.57,4,0,18,1,4.5,0,0,T,T
,,, Biratnagar - 7th ,0,0,0,0,0,4,0,35,0,8.75,2,0,F,T
,,, Pokhara - 11th ,0,0,0,0,0,3.5,0,30,0,8.57,0,0,F,T
,,,S Paschim  - 12th ,7,5,1,0,140,3,0,28,0,9.33,0,0,T,T
Tilak Bhandari,Wicketkeeper Batter,1,Karnali  - 22nd ,3,5,0,0,60,4,0,23,2,5.75,0,0,T,T
Tom Moores,Wicketkeeper Batter,7,Janakpur  - 14th ,31,23,2,1,134.78,0,0,0,0,0,0,0,T,F
,,,Karnali  - 22nd ,36,35,4,1,102.86,0,0,0,0,0,0,0,T,F
,,,Kathmandu  - 19th ,6,5,1,0,120,0,0,0,0,0,0,0,T,F
,,, Biratnagar - 7th ,30,17,1,3,176.47,0,0,0,0,0,0,0,T,F
,,, Chitwan - 16th ,10,5,0,1,200,0,0,0,0,0,0,0,T,F
,,, Pokhara - 11th ,45,38,2,2,118.42,0,0,0,0,0,0,0,T,F
,,,S Paschim  - 12th ,7,7,0,1,100,0,0,0,0,0,0,0,T,F
Unmukt Chand,Right Handed Batter,4,Kathmandu  - 19th ,14,19,1,0,73.68,0,0,0,0,0,0,0,T,F
,,, Chitwan - 16th ,0,2,0,0,0,0,0,0,0,0,0,0,T,F
,,, Pokhara - 11th ,0,4,0,0,0,0,0,0,0,0,0,0,T,F
,,,S Paschim  - 12th ,4,4,1,0,100,0,0,0,0,0,0,0,T,F